sales,resale,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales
1.872, ,43,3.5,253,113.3,76.3,165.4,2.85,12,21,0.627007378
51.645,13.79,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,3.944393385
131.097,10.29,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,4.875937507
19.911,17.805,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,2.991272343
92.364,14.01,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,4.525737292
35.945,13.225,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,3.581989992
39.572, ,25.635,3.4,185,120,72.7,201.3,3.942,25,23,3.678121797
8.982,41.25,41.43,2.7,217,95.2,70.1,171,2.778,17,22,2.195222575
1.28,60.625,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,0.246860078
1.866,67.55,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,0.623797102
9.191, ,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,2.218224744
12.115, ,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,2.494444354
80.62,9.2,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,4.389746758
24.546,10.59,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,3.200548908
5.223,10.79,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1.653071949
8.472, ,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,2.136766608
49.989, ,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,3.911802981
47.107, ,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,3.85242161
33.028, ,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,3.497355687
142.535,10.025,13.108,1.8,120,97,66.7,174,2.42,13.2,33,4.959587584
247.994,13.245,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,5.513404552
63.849,18.14,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,4.156520921
33.269,15.445,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,3.504626032
84.087,9.575,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,4.431851977
65.119, ,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,4.176216365
25.106,13.325,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,3.223106861
68.411,19.425,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,4.22553363
9.835,34.08,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,2.285947452
9.761,11.425,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,2.278394854
83.721,13.24,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,4.427489842
51.102,16.725,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,3.933823635
9.569,16.575,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,2.258528707
5.596,13.76,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,1.722052057
49.463, ,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,3.901224915
16.957, ,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,2.830680728
3.545, ,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,1.26553816
15.245, ,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,2.72425158
17.531, ,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,2.863970742
3.493, ,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,1.250760966
18.969, ,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,2.942806068
